Fecha,Set-Point,Distancia
13/08/2022 10:26,25,3
13/08/2022 10:26,25,0
14/08/2022 10:26,25,0
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,6
13/08/2022 10:26,25,4
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,3
13/08/2022 10:26,25,4
13/08/2022 10:26,25,4
13/08/2022 10:26,25,6
13/08/2022 10:26,25,7
13/08/2022 10:26,25,8
13/08/2022 10:26,25,8
13/08/2022 10:26,25,8
13/08/2022 10:26,25,9
13/08/2022 10:26,25,11
13/08/2022 10:26,25,13
13/08/2022 10:26,25,15
13/08/2022 10:26,25,14
13/08/2022 10:26,25,14
13/08/2022 10:26,25,15
13/08/2022 10:26,25,15
13/08/2022 10:26,25,16
13/08/2022 10:26,25,17
13/08/2022 10:26,25,18
13/08/2022 10:26,25,17
13/08/2022 10:26,25,19
13/08/2022 10:26,25,19
13/08/2022 10:26,25,19
13/08/2022 10:26,25,20
13/08/2022 10:26,25,20
13/08/2022 10:26,25,20
13/08/2022 10:26,25,21
13/08/2022 10:26,25,20
13/08/2022 10:26,25,20
13/08/2022 10:26,25,21
13/08/2022 10:26,25,21
13/08/2022 10:26,25,21
13/08/2022 10:26,25,21
13/08/2022 10:26,25,21
13/08/2022 10:26,25,21
13/08/2022 10:26,25,22
13/08/2022 10:26,25,22
13/08/2022 10:26,25,22
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,22
13/08/2022 10:26,25,22
13/08/2022 10:26,25,23
13/08/2022 10:26,25,22
13/08/2022 10:26,25,22
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,22
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,23
13/08/2022 10:26,25,24
13/08/2022 10:26,25,23
13/08/2022 10:26,25,24
13/08/2022 10:26,25,24
13/08/2022 10:26,25,24
13/08/2022 10:26,25,24
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,24
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,25
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,25,26
13/08/2022 10:26,30,26
13/08/2022 10:26,30,26
13/08/2022 10:26,30,26
13/08/2022 10:26,30,26
13/08/2022 10:26,30,26
13/08/2022 10:26,30,26
13/08/2022 10:26,30,26
